Rule Name,IP,Comment
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.137,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.144,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.155,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.162,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.176,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,142.176.208.178,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,2001:4c0:1:2006::8eb0:d09b,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,2001:4c0:1:2006::8eb0:d0b0,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,23.53.4.11,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,23.53.4.17,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,23.53.4.32,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,2600:140a:a000::172b:a10a,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 1,2600:140a:a000::172b:a118,Block NVIDIA Display Driver Telemetry part 1 of 3
Block NVIDIA Display Driver Telemetry Part 2,2600:140a:a000::172b:a120,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,2600:140a:a000::172b:a121,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,34.216.188.13,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,44.239.29.13,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,52.26.80.135,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.38.107,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.38.130,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.38.204,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.38.248,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.38.77,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.39.123,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.39.210,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.39.244,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.39.68,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,63.140.39.78,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 2,72.25.64.16,Block NVIDIA Display Driver Telemetry part 2 of 3
Block NVIDIA Display Driver Telemetry Part 3,72.25.64.32,Block NVIDIA Display Driver Telemetry part 3 of 3
Block NVIDIA Display Driver Telemetry Part 3,72.25.64.38,Block NVIDIA Display Driver Telemetry part 3 of 3
Block NVIDIA Display Driver Telemetry Part 3,72.25.64.46,Block NVIDIA Display Driver Telemetry part 3 of 3
Block NVIDIA Display Driver Telemetry Part 3,72.25.64.8,Block NVIDIA Display Driver Telemetry part 3 of 3
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,3.161.213.54,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,3.161.213.7,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,3.161.213.76,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,3.161.213.97,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,118.193.97.200,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,118.193.97.209,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,118.193.97.211,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia,118.193.97.221,Block NVIDIA Telemetry *MAY BREAK LOGIN* login.nvgs.nvidia.com/cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.com,2400:7fc0:8e92:13ca:4625:ecf7:33a:1ad0,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.com
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.com,2400:7fc0:8e92:13cb:2c12:ea80:7940:504c,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.com
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.com,2600:1f18:1a58:e202:204b:43c2:3c4e:4f34,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.com
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.com,2600:1f18:1a58:e203:4b65:ae82:ba57:bb95,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.com
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.com,2600:1f18:1a58:e204:5f31:b4bd:524e:d239,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.com
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.cn,44.213.48.29,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.cn,52.205.95.17,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.cn,52.7.55.151,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.cn,71.131.239.187,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.cn
Block NVIDIA Telemetry *MAY BREAK LOGIN* accnts.nvgs.nvidia.cn,140.179.137.34,Block NVIDIA Telemetry *MAY BREAK LOGIN* accounts.nvgs.nvidia.cn
